,text,object_name,best_rating,rating_value,object_select,object_type,object_part_of_series_type,rating_unit
1907,give four out of 6  points to current  novel,,6,four,current,novel,,points
1908,give one out of 6  points to The Psychopathic God  series,The Psychopathic God,6,one,,,series,points
1909,Rate Seeing the Big Picture a zero out of 6  points,Seeing the Big Picture,6,zero,,,,points
1910,this  textbook rates a 4 of 6 .,,6,4,this,textbook,,
1911,I give this  series a value of one and a best rating of 6,,6,one,this,,series,
1912,Rate A Conspiracy of Paper  4 of 6,A Conspiracy of Paper,6,4,,,,
1913,rate the current  textbook  4 of 6  points,,6,4,current,textbook,,points
1914,Rate The Man Who Sold the Moon a 5 .,The Man Who Sold the Moon,,5,,,,
1915,give one out o 6  stars to this  chronicle,,6,one,this,,chronicle,stars
1916,I'd give the Embers of War  saga a rating of 2  points .,Embers of War,,2,,,saga,points
1917,I gave the current  album  two  stars,,,two,current,album,,stars
1918,I rate Step by Wicked Step  1  stars,Step by Wicked Step,,1,,,,stars
1919,rate The Stone Key a 5,The Stone Key,,5,,,,
1920,give five out of 6 to this  novel,,6,five,this,novel,,
1921,The book the Gardens of the Moon deserves only 1  stars .,Gardens of the Moon,,1,,book,,stars
1922,I give this  book a 5 .,,,5,this,book,,
1923,I give this  series a one out of 6,,6,one,this,,series,
1924,zero  points for Birds of South Asia. The Ripley Guide,Birds of South Asia. The Ripley Guide,,zero,,,,points
1925,The current  essay feels like a 3 .,,,3,current,essay,,
1926,"Out of a possiable 6 I give Jip, His Story a 0 ","Jip, His Story",6,0,,,,
1927,I am giving this current  book under the series section one  stars,,,one,current,book,series,stars
1928,give four out of 6  stars to current  essay,,6,four,current,essay,,stars
1929,Give the book  The Adventures of James Bond Junior 003½  2  points for a rating.,The Adventures of James Bond Junior 003½,,2,,book,,points
1930,Give this  album  1  stars .,,,1,this,album,,stars
1931,Give The Snows of Kilimanjaro  3  stars .,The Snows of Kilimanjaro,,3,,,,stars
1932,give zero  points to current  album,,,zero,current,album,,points
1933,I want to rate The Obama Syndrome  zero of 6,The Obama Syndrome,6,zero,,,,
1934,Rate Puttering About in a Small Land  zero out of 6  stars,Puttering About in a Small Land,6,zero,,,,stars
1935,Rate the City of Lost Souls  one of 6  points,City of Lost Souls,6,one,,,,points
1936,rate Quantum Theology  one out of 6,Quantum Theology,6,one,,,,
1937,Rate this current  saga  one  points,,,one,current,,saga,points
1938,I'd like to give The Harder They Come  two  points,The Harder They Come,,two,,,,points
1939,I think the Dictionary of New Zealand Biography deserves 2  points,Dictionary of New Zealand Biography,,2,,,,points
1940,I rate Shadow of Suribachi at five  stars .,Shadow of Suribachi,,five,,,,stars
1941,Give After Having Spent a Night Among Horses  0 out of 6 .,After Having Spent a Night Among Horses,6,0,,,,
1942,the current rating of 6 out of two for a textbook,,6,two,current,textbook,,
1943,Give the saga called The Bridges of Madison County  four of 6  stars .,The Bridges of Madison County,6,four,,,saga,stars
1944,The Postman is awful and only gets a 1 out of 6 .,The Postman,6,1,,,,
1945,Rate 12: The Elements of Great Managing a 0,12: The Elements of Great Managing,,0,,,,
1946,I give The French Suicide  5  stars,The French Suicide,,5,,,,stars
1947,give 5  points to The White Hotel,The White Hotel,,5,,,,points
1948,I give Christianity not Mysterious  1 out of 6  points .,Christianity not Mysterious,6,1,,,,points
1949,give five  stars to The Songlines,The Songlines,,five,,,,stars
1950,rate the book  The Nightmare Lands  0 out of 6  stars,The Nightmare Lands,6,0,,book,,stars
1951,rate this  textbook  0  stars,,,0,this,textbook,,stars
1952,give 5 out of 6  stars to Coming Home,Coming Home,6,5,,,,stars
1953,Give Drift: The Unmooring of American Military Power  0 out of 6  points .,Drift: The Unmooring of American Military Power,6,0,,,,points
1954,give 1 out of 6  points to Revolution World,Revolution World,6,1,,,,points
1955,Rate this  essay  zero  stars out of 6,,6,zero,this,essay,,stars
1956,rate this  album  four out of 6  stars,,6,four,this,album,,stars
1957,Give this  textbook  four  stars .,,,four,this,textbook,,stars
1958,rate A Twist in the Tale  zero out of 6  points,A Twist in the Tale,6,zero,,,,points
1959,Rate The children of Niobe  1 out of 6  points .,The children of Niobe,6,1,,,,points
1960,Give zero  stars to Halo: Ghosts of Onyx,Halo: Ghosts of Onyx,,zero,,,,stars
1961,give this  novel a score of 5,,,5,this,novel,,
1962,Give the current  series  four of 6  points .,,6,four,current,,series,points
1963,Give 4 out of 6  points to The Spirit Ring  chronicle,The Spirit Ring,6,4,,,chronicle,points
1964,Give two  stars out of 6 to 36 Children,36 Children,6,two,,,,stars
1965,Rate The Sneetches and Other Stories a three,The Sneetches and Other Stories,,three,,,,
1966,Rate the current  series  four  stars .,,,four,current,,series,stars
1967,rate this  book a 4 out of 6,,6,4,this,book,,
1968,rate the current  novel  5 of 6  stars,,6,5,current,novel,,stars
1969,Rate this  book a 1 ,,,1,this,book,,
1970,Give zero out of 6 to the current  album,,6,zero,current,album,,
1971,Give this  album  5  points .,,,5,this,album,,points
1972,Rate The Mystery of the Tolling Bell  series  4  stars .,The Mystery of the Tolling Bell,,4,,,series,stars
1973,Give the current  novel  two  stars .,,,two,current,novel,,stars
1974,Give the current  book  4  stars,,,4,current,book,,stars
1975,Give Joe Magarac and His USA Citizen Papers  5  points,Joe Magarac and His USA Citizen Papers,,5,,,,points
1976,Rate The Guilty  0 of 6  points,The Guilty,6,0,,,,points
1977,rate this  textbook  four out of 6,,6,four,this,textbook,,
1978,Give the Catedral  series  four  stars .,Catedral,,four,,,series,stars
1979,Reminiscences of the Anti-Japanese Guerillas  chronicle deserves zero  points out of 6 for a rating.,Reminiscences of the Anti-Japanese Guerillas,6,zero,,,chronicle,points
1980,"Give Small Screen, Big Picture a 0 out of 6 rating.","Small Screen, Big Picture",6,0,,,,
1981,Gods and Pawns should get a three,Gods and Pawns,,three,,,,
1982,Give zero  stars to this  textbook,,,zero,this,textbook,,stars
1983,Rate the current  novel a 4 out of 6  stars .,,6,4,current,novel,,stars
1984,Rate the book  The Atmospheric Railway  5 out of 6,The Atmospheric Railway,6,5,,book,,
1985,rate Black Boy  4 out of 6,Black Boy,6,4,,,,
1986,Rate the chronicle  current  1 star,,,1,current,,chronicle,
1987,mark this  album a score of 5,,,5,this,album,,
1988,rate the current  novel  zero out of 6,,6,zero,current,novel,,
1989,rate the current  novel a 2,,,2,current,novel,,
1990,Give The Giant Devil Dingo  4  points .,The Giant Devil Dingo,,4,,,,points
1991,Rate this current  novel  two out of 6 .,,6,two,this current,novel,,
1992,Give Monthly Index of Medical Specialities a two out of 6 rating.,Monthly Index of Medical Specialities,6,two,,,,
1993,rate this  novel  2 out of 6  points,,6,2,this,novel,,points
1994,Rate the current  novel  3  stars,,,3,current,novel,,stars
1995,rate the current  essay  zero out of 6  stars,,6,zero,current,essay,,stars
1996,rate this current  album  0  stars,,,0,this current,album,,stars
1997,Give A Brief Stop on the Road from Auschwitz  1 out of 6  stars,A Brief Stop on the Road from Auschwitz,6,1,,,,stars
1998,Rate this  album  4 out of 6  stars,,6,4,this,album,,stars
1999,Rate Hate That Cat  1 out of 6  stars .,Hate That Cat,6,1,,,,stars
2000,give my current  book  one of 6  stars,,6,one,current,book,,stars
2001,Rate current  novel  one  stars .,,,one,current,novel,,stars
2002,Give five out of 6  points to this  album,,6,five,this,album,,points
2003,Give a rating of 2 to Juneteenth .,Juneteenth,,2,,,,
2004,Rate Ruth  five out of 6  points .,Ruth,6,five,,,,points
2005,rate The Sea of Trolls  1  stars out of 6,The Sea of Trolls,6,1,,,,stars
2006,give The Zenith Angle  one out of 6  points,The Zenith Angle,6,one,,,,points
2007,Give zero  stars to Rhialto the Marvellous,Rhialto the Marvellous,,zero,,,,stars
2008,give the current  book a zero of 6,,6,zero,current,book,,
2009,rate Personal Demons  0 out of 6  points,Personal Demons,6,0,,,,points
2010,Rate the current  series a 4,,,4,current,,series,
2011,Give one of 6  points to Who Will Cry When You Die,Who Will Cry When You Die,6,one,,,,points
2012,Give zero out of 6  stars to this  album,,6,zero,this,album,,stars
2013,Give this  novel  2  stars,,,2,this,novel,,stars
2014,Rate The 8-Week Cholesterol Cure  three out of 6 .,The 8-Week Cholesterol Cure,6,three,,,,
2015,rate this  novel  3 out of 6  points,,6,3,this,novel,,points
2016,rate The Lives of John Lennon  five  points,The Lives of John Lennon,,five,,,,points
2017,Give The American Scene  2 of 6  stars,The American Scene,6,2,,,,stars
2018,Rate this  textbook a one .,,,one,this,textbook,,
2019,Give Summer of the Swans  1  points .,Summer of the Swans,,1,,,,points
2020,Give the current  textbook a rating of five .,,,five,current,textbook,,
2021,Give 4  points to The Person and the Common Good,The Person and the Common Good,,4,,,,points
2022,Give a four rating to A World Apart .,A World Apart,,four,,,,
2023,rate this  chronicle  0  points,,,0,this,,chronicle,points
2024,Give Wilco: Learning How to Die a rating of four  points .,Wilco: Learning How to Die,,four,,,,points
2025,Rate this  saga  two out of 6 .,,6,two,this,,saga,
2026,rate The Gift: Imagination and the Erotic Life of Property  five  stars,The Gift: Imagination and the Erotic Life of Property,,five,,,,stars
2027,rate Neverwhere  four out of 6,Neverwhere,6,four,,,,
2028,Rate In the Company of Cheerful Ladies a zero out of 6,In the Company of Cheerful Ladies,6,zero,,,,
2029,Give one start to the current  book,,,one,current,book,,
2030,Give this  chronicle a 2 rating.,,,2,this,,chronicle,
2031,rate this  essay a 1,,,1,this,essay,,
2032,"Out of 6 , give Rivers of Babylon a 1",Rivers of Babylon,6,1,,,,
2033,Give 5 of 6  stars to Expressive Processing,Expressive Processing,6,5,,,,stars
2034,rate The Ghost House  series a one,The Ghost House,,one,,,series,
2035,rate Know Ye Not Agincourt ? 2 out of 6  stars,Know Ye Not Agincourt,6,2,,,,stars
2036,I would rate Theft: A Love Story  four out of 6  stars .,Theft: A Love Story,6,four,,,,stars
2037,Rate The Further Adventures of The Joker  four  stars,The Further Adventures of The Joker,,four,,,,stars
2038,Give 0 rating to In the Heart of the Country,In the Heart of the Country,,0,,,,
2039,Give 1 out of 6 rating to the current  textbook,,6,1,current,textbook,,
2040,give the current  chronicle  five of 6  points,,6,five,current,,chronicle,points
2041,Rate Cotton Comes to Harlem a 2,Cotton Comes to Harlem,,2,,,,
2042,Give this  album  one  stars,,,one,this,album,,stars
2043,rate The Adventures of Augie March  one  points,The Adventures of Augie March,,one,,,,points
2044,Rate Soul Music a 0 .,Soul Music,,0,,,,
2045,Give Hindu Temples: What Happened to Them a 5 out of 6  stars .,Hindu Temples: What Happened to Them,6,5,,,,stars
2046,Give this  novel a 1 .,,,1,this,novel,,
2047,rate the current  textbook  1 out of 6,,6,1,current,textbook,,
2048,Give this  textbook  0 out of 6  stars,,6,0,this,textbook,,stars
2049,Give The Crystal Snare  5  stars,The Crystal Snare,,5,,,,stars
2050,Rate this  saga  two out of 6 .,,6,two,this,,saga,
2051,Give Wilco: Learning How to Die a rating of four  points .,Wilco: Learning How to Die,,four,,,,points
2052,Rate this  book  3  stars out of 6,,6,3,this,book,,stars
2053,rate the Three Junes  one out of 6,Three Junes,6,one,,,,
2054,Give four  stars to The Broken Window,The Broken Window,,four,,,,stars
2055,Rate the current  series  4  points,,,4,current,,series,points
